DateTime,Value
05-12-2023 09:00,50.02
05-12-2023 09:15,49.96
05-12-2023 09:30,49.96
05-12-2023 09:45,50.01
05-12-2023 10:00,49.94
05-12-2023 10:15,49.95
05-12-2023 10:30,49.97
05-12-2023 10:45,49.98
05-12-2023 11:00,49.99
05-12-2023 11:15,49.98
05-12-2023 11:30,49.97
05-12-2023 11:45,50.02
05-12-2023 12:00,50.06
05-12-2023 12:15,50.01
05-12-2023 12:30,49.95
05-12-2023 12:45,49.98
05-12-2023 13:00,50.13
05-12-2023 13:15,50.02
05-12-2023 13:30,49.98
05-12-2023 13:45,49.95
05-12-2023 14:00,50
05-12-2023 14:15,49.98
05-12-2023 14:30,49.96
05-12-2023 14:45,49.91
05-12-2023 15:00,49.98
05-12-2023 15:15,50
05-12-2023 15:30,49.94
05-12-2023 15:45,49.93
05-12-2023 16:00,49.95
05-12-2023 16:15,49.97
05-12-2023 16:30,49.96
05-12-2023 16:45,49.91
05-12-2023 17:00,49.93
05-12-2023 17:15,49.84
05-12-2023 17:30,49.89
05-12-2023 17:45,49.8
05-12-2023 18:00,49.91
05-12-2023 18:15,49.94
05-12-2023 18:30,49.97
05-12-2023 18:45,50.01
05-12-2023 19:00,50.02
05-12-2023 19:15,49.93
05-12-2023 19:30,49.97
05-12-2023 19:45,50.01
05-12-2023 20:00,50
05-12-2023 20:15,50
05-12-2023 20:30,49.96
05-12-2023 20:45,50.02
05-12-2023 21:00,50
05-12-2023 21:15,50.01
05-12-2023 21:30,50
05-12-2023 21:45,50.02
05-12-2023 22:00,50
05-12-2023 22:15,49.98
05-12-2023 22:30,50
05-12-2023 22:45,50.01
05-12-2023 23:00,50.03
05-12-2023 23:15,50.05
05-12-2023 23:30,50.08
05-12-2023 23:45,50.14
06-12-2023 00:00,50.06
06-12-2023 00:15,49.96
06-12-2023 00:30,49.92
06-12-2023 00:45,49.97
06-12-2023 01:00,50.02
06-12-2023 01:15,49.99
06-12-2023 01:30,49.96
06-12-2023 01:45,49.97
06-12-2023 02:00,49.95
06-12-2023 02:15,49.94
06-12-2023 02:30,49.94
06-12-2023 02:45,49.94
06-12-2023 03:00,49.98
06-12-2023 03:15,49.99
06-12-2023 03:30,49.97
06-12-2023 03:45,49.96
06-12-2023 04:00,49.94
06-12-2023 04:15,49.97
06-12-2023 04:30,49.97
06-12-2023 04:45,49.96
06-12-2023 05:00,49.98
06-12-2023 05:15,49.93
06-12-2023 05:30,49.9
06-12-2023 05:45,49.96
06-12-2023 06:00,49.94
06-12-2023 06:15,49.92
06-12-2023 06:30,49.94
06-12-2023 06:45,49.85
06-12-2023 07:00,49.79
06-12-2023 07:15,49.9
06-12-2023 07:30,50.01
06-12-2023 07:45,50.01
06-12-2023 08:00,50
06-12-2023 08:15,49.97
06-12-2023 08:30,49.99
06-12-2023 08:45,49.98
06-12-2023 09:00,49.91
06-12-2023 09:15,49.98
06-12-2023 09:30,49.94
06-12-2023 09:45,50.01
06-12-2023 10:00,50.01
06-12-2023 10:15,50.02
06-12-2023 10:30,50
06-12-2023 10:45,50.01
06-12-2023 11:00,49.97
06-12-2023 11:15,50
06-12-2023 11:30,49.99
06-12-2023 11:45,50
06-12-2023 12:00,49.97
